student_id,theta,alpha,phi,s,g,tau,h
5244,0.472,0.215,0.144,0.154,0.002,0.523,0.069
5245,0.453,0.207,0.208,0.066,0.078,1.958,0.489
5246,0.773,0.141,0.34,0.056,0.191,0.963,0.607
5247,0.758,0.327,0.488,0.101,0.107,1.459,0.354
5248,0.758,0.319,0.1,0.023,0.029,1.579,0.545
5249,0.57,0.159,0.075,0.015,0.104,0.594,0.467
5250,0.68,0.266,0.302,0.049,0.05,1.523,0.355
5251,0.744,0.149,0.158,0.046,0.126,1.044,0.949
5252,0.597,0.207,0.141,0.193,0.191,1.195,0.803
5253,0.788,0.476,0.329,0.053,0.083,1.513,0.888
5254,0.81,0.08,0.268,0.18,0.048,1.676,0.035
5255,0.828,0.31,0.08,0.015,0.084,1.83,0.157
5256,0.489,0.391,0.179,0.179,0.129,1.984,0.326
5257,0.793,0.239,0.49,0.087,0.068,1.35,0.15
5258,0.9,0.301,0.295,0.149,0.008,0.93,0.776
5259,0.464,0.599,0.117,0.001,0.142,1.18,0.177
5260,0.539,0.074,0.11,0.026,0.2,1.256,0.896
5261,0.653,0.593,0.082,0.177,0.146,0.907,0.672
5262,0.862,0.467,0.243,0.188,0.184,1.268,0.185
5263,0.8,0.164,0.418,0.05,0.097,0.906,0.723
5264,0.211,0.373,0.166,0.025,0.032,1.232,0.801
5265,0.469,0.384,0.202,0.175,0.054,1.248,0.645
5266,0.566,0.089,0.237,0.078,0.037,1.758,0.033
5267,0.437,0.356,0.099,0.154,0.011,1.026,0.366
5268,0.345,0.101,0.077,0.137,0.145,1.95,0.772
5269,0.589,0.17,0.231,0.012,0.173,1.709,0.857
5270,0.626,0.296,0.049,0.034,0.104,1.816,0.682
5271,0.404,0.033,0.412,0.076,0.033,0.871,0.625
5272,0.483,0.15,0.155,0.179,0.118,1.641,0.357
5273,0.704,0.128,0.515,0.164,0.121,1.898,0.965
5274,0.894,0.273,0.492,0.168,0.069,1.424,0.937
5275,0.846,0.634,0.144,0.164,0.107,1.773,0.816
5276,0.654,0.082,0.209,0.102,0.117,1.194,0.958
5277,0.708,0.328,0.292,0.139,0.048,1.579,0.343
5278,0.547,0.258,0.036,0.046,0.085,1.015,0.912
5279,0.895,0.572,0.132,0.044,0.154,0.697,0.679
5280,0.384,0.282,0.175,0.161,0.085,0.545,0.432
5281,0.764,0.381,0.139,0.123,0.028,1.944,0.788
5282,0.759,0.168,0.069,0.191,0.078,0.846,0.925
5283,0.321,0.562,0.221,0.065,0.006,0.867,0.582
5284,0.71,0.343,0.133,0.07,0.187,1.854,0.207
5285,0.53,0.238,0.13,0.103,0.009,0.58,0.531
5286,0.763,0.293,0.329,0.027,0.189,1.627,0.227
5287,0.487,0.283,0.342,0.174,0.098,1.393,0.664
5288,0.821,0.369,0.068,0.117,0.006,1.264,0.081
5289,0.499,0.016,0.318,0.045,0.166,0.572,0.186
5290,0.713,0.16,0.234,0.044,0.152,0.841,0.454
5291,0.495,0.591,0.047,0.143,0.018,1.901,0.145
5292,0.848,0.452,0.127,0.08,0.089,1.821,0.467
5293,0.707,0.342,0.365,0.04,0.151,1.271,0.271
5294,0.782,0.402,0.106,0.151,0.123,0.752,0.53
5295,0.631,0.202,0.221,0.124,0.083,0.943,0.838
5296,0.524,0.059,0.243,0.169,0.093,1.177,0.883
5297,0.576,0.028,0.045,0.125,0.021,0.516,0.704
5298,0.637,0.358,0.043,0.126,0.136,1.996,0.827
5299,0.414,0.051,0.235,0.128,0.086,1.533,0.316
5300,0.504,0.069,0.231,0.036,0.002,1.246,0.801
5301,0.733,0.174,0.006,0.148,0.141,1.402,0.207
5302,0.654,0.271,0.17,0.167,0.031,1.081,0.995
5303,0.671,0.317,0.108,0.123,0.142,0.542,0.297
5304,0.734,0.302,0.029,0.013,0.075,1.937,0.095
5305,0.383,0.346,0.133,0.12,0.036,0.599,0.634
5306,0.787,0.132,0.172,0.185,0.02,1.309,0.805
5307,0.493,0.072,0.488,0.04,0.076,1.2,0.787
5308,0.694,0.083,0.226,0.166,0.118,0.644,0.877
5309,0.693,0.34,0.101,0.131,0.153,0.623,0.25
5310,0.68,0.335,0.075,0.028,0.058,1.589,0.999
5311,0.646,0.065,0.054,0.122,0.059,0.552,0.52
5312,0.592,0.449,0.085,0.067,0.178,1.916,0.191
5313,0.469,0.137,0.061,0.044,0.101,1.679,0.181
5314,0.482,0.299,0.083,0.052,0.009,1.024,0.816
5315,0.658,0.58,0.14,0.143,0.122,1.403,0.184
5316,0.541,0.489,0.165,0.137,0.036,1.638,0.122
5317,0.363,0.332,0.093,0.197,0.029,1.097,0.083
5318,0.771,0.239,0.057,0.059,0.18,1.483,0.972
5319,0.597,0.303,0.328,0.171,0.079,1.443,0.728
5320,0.585,0.536,0.409,0.048,0.042,1.709,0.495
5321,0.633,0.331,0.194,0.169,0.048,1.095,0.732
5322,0.457,0.272,0.067,0.017,0.069,0.703,0.263
5323,0.368,0.382,0.195,0.116,0.135,0.637,0.667
5324,0.641,0.359,0.257,0.146,0.087,1.452,0.423
5325,0.461,0.395,0.441,0.089,0.059,1.55,0.391
5326,0.622,0.013,0.358,0.13,0.042,0.917,0.674
5327,0.803,0.346,0.201,0.078,0.079,0.859,0.577
5328,0.857,0.163,0.159,0.018,0.18,1.183,0.128
5329,0.641,0.496,0.279,0.035,0.16,0.827,0.824
5330,0.746,0.218,0.347,0.129,0.122,1.848,0.448
5331,0.29,0.27,0.282,0.086,0.134,0.878,0.669
5332,0.48,0.216,0.193,0.077,0.146,0.537,0.243
5333,0.511,0.188,0.18,0.072,0.006,1.969,0.095
5334,0.72,0.257,0.246,0.096,0.172,1.5,0.253
5335,0.484,0.483,0.102,0.084,0.123,0.822,0.102
5336,0.473,0.3,0.211,0.048,0.2,1.42,0.863
5337,0.609,0.402,0.054,0.16,0.195,1.072,0.303
5338,0.745,0.165,0.247,0.188,0.154,0.512,0.52
5339,0.906,0.108,0.177,0.026,0.011,1.76,0.595
5340,0.593,0.468,0.297,0.174,0.087,1.175,0.106
5341,0.734,0.085,0.045,0.134,0.179,0.649,0.806
5342,0.784,0.101,0.025,0.031,0.181,1.954,0.627
5343,0.871,0.08,0.149,0.069,0.196,0.881,0.415
5344,0.773,0.488,0.077,0.072,0.175,1.91,0.325
5345,0.708,0.234,0.317,0.066,0.059,1.732,0.251
5346,0.669,0.212,0.61,0.157,0.19,1.254,0.397
5347,0.424,0.118,0.279,0.039,0.116,0.796,0.662
5348,0.802,0.315,0.175,0.026,0.064,1.403,0.902
5349,0.701,0.809,0.358,0.179,0.11,0.858,0.446
5350,0.347,0.456,0.077,0.112,0.005,1.689,0.588
5351,0.369,0.339,0.29,0.196,0.057,0.523,0.799
5352,0.731,0.27,0.429,0.073,0.037,1.11,0.18
5353,0.824,0.133,0.293,0.187,0.168,1.995,0.117
5354,0.641,0.295,0.299,0.111,0.075,1.55,0.851
5355,0.487,0.195,0.551,0.177,0.046,0.512,0.427
5356,0.808,0.086,0.022,0.04,0.164,0.957,0.685
5357,0.602,0.122,0.237,0.191,0.127,0.924,0.061
5358,0.643,0.564,0.272,0.069,0.077,0.704,0.891
5359,0.511,0.25,0.187,0.005,0.018,1.753,0.514
5360,0.529,0.353,0.102,0.057,0.089,1.741,0.357
5361,0.733,0.051,0.201,0.034,0.018,1.479,0.679
5362,0.694,0.173,0.251,0.108,0.1,1.138,0.185
5363,0.742,0.343,0.166,0.191,0.032,1.478,0.39
5364,0.739,0.067,0.447,0.154,0.123,0.828,0.703
5365,0.652,0.416,0.112,0.028,0.054,1.399,0.389
5366,0.759,0.298,0.217,0.109,0.109,1.408,0.588
5367,0.76,0.422,0.279,0.083,0.149,1.274,0.302
5368,0.645,0.081,0.295,0.088,0.178,1.654,0.876
5369,0.331,0.431,0.053,0.159,0.075,1.761,0.427
5370,0.537,0.778,0.186,0.025,0.191,1.788,0.872
5371,0.507,0.158,0.133,0.169,0.174,1.308,0.092
5372,0.436,0.465,0.448,0.083,0.172,0.502,0.508
5373,0.565,0.277,0.095,0.136,0.058,1.188,0.89
5374,0.788,0.525,0.156,0.065,0.113,1.665,0.538
5375,0.748,0.25,0.214,0.173,0.019,0.749,0.126
5376,0.476,0.434,0.316,0.103,0.172,1.992,0.016
5377,0.348,0.555,0.222,0.149,0.168,1.854,0.923
5378,0.673,0.251,0.159,0.089,0.09,1.258,0.15
5379,0.905,0.492,0.139,0.035,0.103,1.282,0.152
5380,0.476,0.118,0.017,0.162,0.101,0.616,0.89
5381,0.471,0.196,0.185,0.173,0.077,1.053,0.163
5382,0.411,0.206,0.037,0.056,0.085,1.244,0.137
5383,0.708,0.225,0.063,0.107,0.125,0.957,0.95
5384,0.89,0.164,0.042,0.111,0.198,1.475,0.372
5385,0.889,0.205,0.156,0.194,0.048,0.991,0.672
5386,0.569,0.247,0.181,0.021,0.06,1.091,0.014
5387,0.745,0.139,0.294,0.138,0.155,1.818,0.995
5388,0.612,0.264,0.276,0.114,0.004,1.331,0.631
5389,0.714,0.238,0.525,0.031,0.129,1.595,0.779
5390,0.656,0.126,0.157,0.091,0.106,0.802,0.984
5391,0.623,0.302,0.071,0.018,0.182,0.762,0.266
5392,0.568,0.404,0.125,0.017,0.019,0.712,0.496
5393,0.456,0.449,0.054,0.053,0.083,0.734,0.779
5394,0.906,0.214,0.228,0.008,0.084,1.377,0.538
5395,0.612,0.453,0.277,0.165,0.162,1.303,0.48
5396,0.279,0.168,0.075,0.194,0.044,1.091,0.236
5397,0.498,0.087,0.142,0.082,0.001,0.649,0.404
5398,0.392,0.126,0.054,0.13,0.136,0.788,0.296
5399,0.767,0.541,0.068,0.035,0.14,0.747,0.348
5400,0.601,0.265,0.198,0.089,0.122,1.027,0.5
5401,0.425,0.277,0.25,0.15,0.182,0.566,0.691
5402,0.847,0.083,0.324,0.113,0.032,0.637,0.273
5403,0.533,0.318,0.097,0.019,0.068,0.847,0.523
5404,0.556,0.323,0.207,0.183,0.099,1.007,0.293
5405,0.191,0.148,0.183,0.122,0.106,0.825,0.395
5406,0.789,0.416,0.213,0.042,0.059,1.554,0.896
5407,0.833,0.121,0.415,0.087,0.194,0.699,0.958
5408,0.78,0.307,0.266,0.119,0.165,1.414,0.103
5409,0.425,0.19,0.131,0.075,0.163,0.981,0.971
5410,0.705,0.496,0.333,0.151,0.021,0.652,0.373
5411,0.614,0.259,0.185,0.084,0.002,1.533,0.13
5412,0.396,0.149,0.058,0.084,0.009,0.811,0.554
5413,0.847,0.327,0.144,0.069,0.142,0.541,0.313
5414,0.827,0.303,0.174,0.114,0.161,0.714,0.071
5415,0.575,0.515,0.093,0.031,0.172,1.847,0.357
5416,0.826,0.07,0.14,0.015,0.146,1.189,0.558
5417,0.151,0.369,0.06,0.056,0.085,1.238,0.664
5418,0.809,0.731,0.101,0.192,0.023,0.627,0.19
5419,0.588,0.145,0.253,0.182,0.138,1.729,0.165
5420,0.248,0.554,0.185,0.153,0.035,1.262,0.008
5421,0.843,0.17,0.212,0.181,0.156,0.766,0.994
5422,0.832,0.254,0.186,0.131,0.1,0.933,0.087
5423,0.658,0.092,0.286,0.063,0.116,1.303,0.342
5424,0.699,0.463,0.238,0.134,0.142,1.019,0.164
5425,0.464,0.071,0.305,0.105,0.044,1.47,0.771
5426,0.403,0.066,0.185,0.189,0.061,1.827,0.482
5427,0.608,0.251,0.193,0.089,0.02,0.978,0.005
5428,0.782,0.303,0.151,0.148,0.12,1.523,0.776
5429,0.776,0.191,0.221,0.123,0.126,1.406,0.893
5430,0.381,0.35,0.283,0.099,0.152,1.641,0.221
5431,0.539,0.508,0.069,0.181,0.167,1.978,0.221
5432,0.361,0.353,0.126,0.012,0.193,0.673,0.303
5433,0.491,0.394,0.119,0.018,0.008,1.419,0.137
5434,0.845,0.34,0.085,0.096,0.118,0.871,0.252
5435,0.477,0.613,0.473,0.156,0.187,0.847,0.859
5436,0.864,0.122,0.417,0.171,0.023,0.943,0.038
5437,0.525,0.489,0.263,0.09,0.188,0.888,0.489
5438,0.69,0.151,0.121,0.166,0.195,1.53,0.633
5439,0.782,0.218,0.136,0.017,0.194,1.404,0.895
5440,0.829,0.68,0.284,0.198,0.196,1.292,0.339
5441,0.596,0.098,0.145,0.118,0.022,1.344,0.9
5442,0.377,0.339,0.337,0.011,0.057,1.296,0.544
5443,0.395,0.435,0.095,0.054,0.146,0.806,0.211
5444,0.544,0.176,0.218,0.061,0.057,1.74,0.197
5445,0.348,0.167,0.448,0.032,0.194,1.046,0.522
5446,0.931,0.249,0.337,0.186,0.002,0.533,0.795
5447,0.698,0.324,0.502,0.063,0.05,1.032,0.623
5448,0.726,0.274,0.237,0.1,0.126,0.735,0.569
5449,0.704,0.318,0.309,0.015,0.149,1.454,0.416
5450,0.764,0.263,0.064,0.161,0.171,0.924,0.985
5451,0.879,0.053,0.159,0.128,0.148,0.635,0.163
5452,0.869,0.091,0.07,0.012,0.049,1.286,0.856
5453,0.351,0.322,0.233,0.195,0.075,1.982,0.695
5454,0.746,0.392,0.248,0.174,0.136,0.56,0.39
5455,0.582,0.29,0.065,0.025,0.009,1.674,0.253
5456,0.794,0.303,0.148,0.151,0.091,0.537,0.988
5457,0.759,0.495,0.498,0.17,0.065,1.86,0.995
5458,0.483,0.129,0.25,0.187,0.086,0.627,0.901
5459,0.562,0.104,0.186,0.063,0.189,0.548,0.742
5460,0.646,0.265,0.221,0.17,0.034,1.326,0.013
5461,0.627,0.488,0.116,0.146,0.193,1.344,0.054
5462,0.847,0.18,0.149,0.011,0.144,0.693,0.477
5463,0.623,0.433,0.047,0.191,0.092,1.742,0.685
5464,0.832,0.435,0.113,0.076,0.007,0.976,0.346
5465,0.563,0.531,0.346,0.11,0.067,1.713,0.718
5466,0.433,0.31,0.162,0.112,0.139,1.136,0.163
5467,0.484,0.303,0.077,0.049,0.119,0.972,0.145
5468,0.74,0.115,0.13,0.138,0.077,1.898,0.977
5469,0.565,0.17,0.302,0.057,0.169,0.806,0.158
5470,0.595,0.271,0.107,0.134,0.16,0.711,0.542
5471,0.678,0.396,0.427,0.057,0.169,1.561,0.32
5472,0.604,0.423,0.208,0.157,0.169,1.115,0.068
5473,0.589,0.283,0.308,0.173,0.162,1.676,0.695
5474,0.843,0.113,0.187,0.189,0.141,1.501,0.068
5475,0.758,0.35,0.066,0.152,0.192,1.689,0.246
5476,0.593,0.194,0.206,0.102,0.047,1.814,0.804
5477,0.414,0.038,0.207,0.032,0.189,1.733,0.38
5478,0.483,0.201,0.06,0.19,0.142,1.266,0.159
5479,0.308,0.448,0.104,0.167,0.098,0.791,0.394
5480,0.539,0.147,0.4,0.089,0.087,1.965,0.538
5481,0.385,0.44,0.336,0.139,0.151,1.818,0.837
5482,0.645,0.731,0.144,0.049,0.047,1.92,0.293
5483,0.861,0.03,0.009,0.156,0.178,1.43,0.694
5484,0.722,0.092,0.509,0.05,0.056,0.797,0.556
5485,0.829,0.274,0.299,0.069,0.075,1.865,0.882
5486,0.569,0.412,0.224,0.095,0.136,1.315,0.937
5487,0.526,0.539,0.078,0.174,0.177,0.829,0.734
5488,0.339,0.382,0.089,0.123,0.042,1.378,0.334
5489,0.676,0.165,0.155,0.102,0.134,0.58,0.541
5490,0.612,0.375,0.332,0.081,0.055,1.857,0.312
5491,0.774,0.204,0.025,0.143,0.008,1.736,0.226
5492,0.692,0.401,0.224,0.114,0.104,1.622,0.613
5493,0.52,0.396,0.172,0.173,0.079,1.184,0.321
5494,0.325,0.365,0.241,0.041,0.165,0.759,0.982
5495,0.578,0.612,0.433,0.025,0.031,0.64,0.111
5496,0.444,0.176,0.552,0.104,0.025,0.904,0.679
5497,0.61,0.306,0.246,0.026,0.012,1.291,0.038
5498,0.781,0.014,0.043,0.049,0.073,1.562,0.478
5499,0.706,0.426,0.276,0.187,0.074,1.31,0.485
5500,0.606,0.462,0.284,0.047,0.107,1.317,0.918
5501,0.223,0.326,0.149,0.134,0.009,1.972,0.337
5502,0.613,0.454,0.015,0.162,0.065,1.003,0.053
5503,0.935,0.226,0.237,0.081,0.059,1.987,0.981
5504,0.819,0.276,0.341,0.04,0.132,1.876,0.939
5505,0.437,0.425,0.169,0.182,0.074,0.859,0.337
5506,0.776,0.37,0.125,0.08,0.194,0.543,0.794
5507,0.766,0.128,0.084,0.024,0.028,1.272,0.762
5508,0.824,0.344,0.374,0.112,0.113,1.556,0.144
5509,0.383,0.313,0.212,0.195,0.001,1.824,0.237
5510,0.812,0.083,0.308,0.123,0.004,0.677,0.353
5511,0.619,0.114,0.078,0.006,0.108,0.827,0.517
5512,0.464,0.469,0.468,0.026,0.058,1.659,0.754
5513,0.529,0.662,0.25,0.142,0.106,1.601,0.383
5514,0.603,0.104,0.134,0.11,0.179,1.567,0.358
5515,0.576,0.385,0.343,0.078,0.156,0.8,0.452
5516,0.851,0.377,0.313,0.005,0.075,1.754,0.211
5517,0.49,0.13,0.12,0.147,0.192,0.719,0.929
5518,0.61,0.385,0.277,0.143,0.199,1.946,0.287
5519,0.731,0.296,0.248,0.085,0.131,1.384,0.63
5520,0.651,0.475,0.09,0.105,0.096,1.253,0.901
5521,0.764,0.451,0.206,0.126,0.066,1.035,0.022
5522,0.855,0.089,0.174,0.137,0.018,0.761,0.707
5523,0.695,0.316,0.019,0.011,0.07,1.773,0.262
5524,0.729,0.167,0.217,0.163,0.186,1.336,0.444
5525,0.682,0.505,0.12,0.138,0.146,1.646,0.117
5526,0.721,0.233,0.238,0.102,0.08,1.627,0.11
5527,0.504,0.468,0.206,0.143,0.185,0.774,0.275
5528,0.334,0.052,0.174,0.032,0.07,0.639,0.527
5529,0.332,0.003,0.164,0.055,0.116,1.524,0.735
5530,0.61,0.052,0.25,0.193,0.145,1.271,0.899
5531,0.479,0.495,0.119,0.103,0.011,0.803,0.421
5532,0.397,0.097,0.108,0.161,0.096,0.789,0.766
5533,0.481,0.506,0.063,0.176,0.165,0.869,0.448
5534,0.364,0.102,0.092,0.078,0.149,0.882,0.311
5535,0.652,0.3,0.158,0.109,0.043,0.726,0.667
5536,0.634,0.379,0.3,0.098,0.12,1.71,0.244
5537,0.763,0.262,0.35,0.029,0.015,1.537,0.17
5538,0.644,0.104,0.135,0.137,0.16,1.66,0.257
5539,0.595,0.179,0.239,0.138,0.115,1.992,0.989
5540,0.337,0.239,0.21,0.021,0.165,1.716,0.506
5541,0.556,0.041,0.14,0.12,0.181,1.033,0.302
5542,0.722,0.454,0.382,0.139,0.143,0.576,0.527
5543,0.775,0.187,0.503,0.117,0.032,1.55,0.907
5544,0.579,0.176,0.048,0.162,0.176,1.369,0.706
5545,0.501,0.165,0.225,0.152,0.154,1.925,0.155
5546,0.366,0.419,0.088,0.171,0.181,0.686,0.722
5547,0.547,0.22,0.198,0.113,0.1,1.852,0.758
5548,0.41,0.501,0.145,0.076,0.056,1.018,0.464
5549,0.763,0.048,0.091,0.116,0.092,1.408,0.115
5550,0.529,0.531,0.086,0.079,0.005,0.997,0.932
5551,0.797,0.213,0.135,0.145,0.194,1.127,0.436
5552,0.64,0.049,0.129,0.13,0.191,1.595,0.493
5553,0.576,0.465,0.13,0.108,0.097,1.122,0.889
5554,0.283,0.083,0.303,0.133,0.134,1.132,0.717
5555,0.774,0.426,0.114,0.071,0.096,1.137,0.834
5556,0.717,0.251,0.131,0.174,0.048,0.792,0.271
5557,0.785,0.725,0.206,0.155,0.193,0.626,0.074
5558,0.744,0.347,0.519,0.032,0.161,1.914,0.978
5559,0.67,0.069,0.121,0.171,0.088,1.845,0.126
5560,0.964,0.18,0.633,0.144,0.197,1.438,0.008
5561,0.821,0.206,0.127,0.129,0.07,1.453,0.241
5562,0.423,0.462,0.086,0.148,0.192,1.405,0.045
5563,0.579,0.123,0.146,0.099,0.055,1.312,0.315
5564,0.757,0.545,0.186,0.06,0.157,0.517,0.964
5565,0.526,0.501,0.109,0.157,0.037,1.001,0.115
5566,0.653,0.536,0.307,0.139,0.157,1.703,0.065
5567,0.414,0.58,0.122,0.049,0.138,1.818,0.532
5568,0.569,0.351,0.135,0.027,0.069,1.244,0.934
5569,0.513,0.29,0.313,0.063,0.11,0.766,0.463
5570,0.485,0.331,0.3,0.019,0.048,1.123,0.099
5571,0.801,0.531,0.484,0.091,0.127,1.719,0.956
5572,0.711,0.312,0.104,0.175,0.118,0.943,0.13
5573,0.63,0.288,0.396,0.184,0.151,1.885,0.099
5574,0.477,0.172,0.098,0.062,0.151,1.103,0.01
5575,0.602,0.496,0.413,0.075,0.157,1.544,0.674
5576,0.54,0.025,0.247,0.135,0.091,0.99,0.936
5577,0.184,0.595,0.304,0.198,0.174,1.538,0.865
5578,0.542,0.208,0.08,0.13,0.03,1.151,0.978
5579,0.701,0.068,0.141,0.065,0.1,1.022,0.2
5580,0.719,0.169,0.105,0.19,0.111,0.506,0.68
5581,0.96,0.086,0.061,0.092,0.082,1.727,0.409
5582,0.621,0.25,0.101,0.107,0.101,0.679,0.248
5583,0.544,0.262,0.336,0.165,0.01,1.512,0.734
5584,0.498,0.35,0.142,0.144,0.128,1.781,0.842
5585,0.816,0.113,0.14,0.148,0.125,0.539,0.489
5586,0.5,0.445,0.254,0.075,0.145,1.763,0.985
5587,0.451,0.265,0.122,0.122,0.122,1.236,0.391
5588,0.621,0.659,0.187,0.032,0.079,1.232,0.298
5589,0.747,0.605,0.03,0.004,0.109,0.618,0.702
5590,0.678,0.174,0.214,0.01,0.075,1.918,0.162
5591,0.671,0.256,0.465,0.157,0.149,1.234,0.045
5592,0.512,0.236,0.24,0.134,0.041,1.752,0.803
5593,0.783,0.458,0.181,0.015,0.118,1.764,0.517
5594,0.724,0.217,0.401,0.019,0.011,1.282,0.48
5595,0.689,0.335,0.044,0.152,0.176,0.89,0.264
5596,0.404,0.117,0.162,0.055,0.131,0.687,0.594
5597,0.724,0.379,0.513,0.134,0.063,1.25,0.36
5598,0.468,0.394,0.258,0.197,0.042,0.978,0.329
5599,0.83,0.111,0.325,0.182,0.005,1.164,0.97
5600,0.859,0.452,0.164,0.192,0.132,0.955,0.752
5601,0.381,0.269,0.282,0.095,0.092,1.222,0.238
5602,0.451,0.203,0.051,0.154,0.175,1.314,0.414
5603,0.493,0.063,0.092,0.089,0.103,1.653,0.236
5604,0.367,0.534,0.134,0.166,0.19,1.472,0.949
5605,0.754,0.148,0.083,0.186,0.085,1.048,0.994
5606,0.326,0.116,0.017,0.078,0.178,1.868,0.619
5607,0.721,0.132,0.316,0.165,0.163,1.561,0.424
5608,0.861,0.06,0.22,0.199,0.175,0.705,0.036
5609,0.541,0.323,0.288,0.057,0.017,1.226,0.571
5610,0.564,0.124,0.072,0.039,0.058,1.805,0.055
5611,0.452,0.128,0.204,0.114,0.194,0.767,0.64
5612,0.756,0.141,0.24,0.055,0.048,1.152,0.66
5613,0.831,0.15,0.209,0.002,0.095,1.455,0.286
5614,0.215,0.419,0.154,0.071,0.027,0.994,0.538
5615,0.449,0.277,0.377,0.123,0.028,1.069,0.216
5616,0.629,0.043,0.074,0.049,0.123,1.741,0.28
5617,0.598,0.218,0.066,0.076,0.075,1.196,0.952
5618,0.741,0.314,0.248,0.041,0.071,1.356,0.073
5619,0.544,0.227,0.087,0.096,0.197,1.966,0.925
5620,0.524,0.557,0.16,0.005,0.119,1.417,0.766
5621,0.978,0.396,0.26,0.135,0.058,1.299,0.645
5622,0.667,0.288,0.147,0.165,0.076,1.292,0.918
5623,0.586,0.36,0.164,0.065,0.176,0.813,0.21
5624,0.846,0.564,0.479,0.052,0.125,1.962,0.574
5625,0.693,0.387,0.181,0.001,0.199,1.426,0.26
5626,0.518,0.251,0.033,0.164,0.167,1.882,0.706
5627,0.385,0.456,0.221,0.143,0.187,1.702,0.391
5628,0.504,0.312,0.498,0.156,0.053,0.909,0.015
5629,0.667,0.241,0.082,0.092,0.191,0.897,0.704
5630,0.777,0.431,0.254,0.018,0.191,0.97,0.569
5631,0.715,0.209,0.106,0.199,0.053,1.202,0.809
5632,0.911,0.639,0.179,0.073,0.073,1.509,0.591
5633,0.292,0.507,0.187,0.119,0.11,1.997,0.873
5634,0.644,0.213,0.254,0.194,0.154,0.727,0.659
5635,0.565,0.186,0.258,0.031,0.17,0.976,0.011
5636,0.627,0.066,0.116,0.068,0.103,1.923,0.471
5637,0.787,0.547,0.019,0.101,0.03,0.89,0.923
5638,0.217,0.179,0.278,0.173,0.057,1.043,0.224
5639,0.857,0.115,0.082,0.092,0.06,0.542,0.067
5640,0.702,0.192,0.207,0.043,0.077,1.032,0.213
5641,0.544,0.124,0.155,0.033,0.01,1.13,0.786
5642,0.574,0.337,0.393,0.13,0.19,0.546,0.778
5643,0.702,0.272,0.231,0.076,0.164,0.644,0.121
5644,0.392,0.218,0.174,0.071,0.166,1.509,0.8
5645,0.748,0.233,0.172,0.059,0.075,1.767,0.44
5646,0.299,0.338,0.069,0.081,0.183,1.563,0.689
5647,0.161,0.044,0.091,0.043,0.126,1.044,0.488
5648,0.734,0.323,0.185,0.01,0.058,0.656,0.788
5649,0.577,0.249,0.548,0.108,0.107,1.324,0.077
5650,0.64,0.166,0.096,0.131,0.16,1.049,0.14
5651,0.505,0.477,0.13,0.198,0.031,1.597,0.44
5652,0.613,0.382,0.212,0.09,0.057,1.592,0.948
5653,0.684,0.154,0.266,0.109,0.125,0.662,0.217
5654,0.636,0.379,0.138,0.034,0.133,0.881,0.491
5655,0.921,0.595,0.014,0.028,0.18,0.963,0.333
5656,0.737,0.231,0.091,0.076,0.14,1.397,0.911
5657,0.795,0.115,0.286,0.104,0.06,1.233,0.588
5658,0.77,0.318,0.134,0.071,0.047,2.0,0.643
5659,0.214,0.24,0.319,0.027,0.079,1.051,0.22
5660,0.611,0.11,0.057,0.193,0.174,0.819,0.362
5661,0.917,0.165,0.312,0.088,0.099,1.164,0.177
5662,0.588,0.038,0.09,0.15,0.143,1.499,0.14
5663,0.59,0.365,0.127,0.168,0.03,1.711,0.751
5664,0.619,0.268,0.039,0.065,0.034,0.507,0.39
5665,0.443,0.326,0.208,0.176,0.183,1.887,0.562
5666,0.535,0.082,0.048,0.034,0.039,1.679,0.805
5667,0.535,0.344,0.116,0.059,0.107,1.206,0.301
5668,0.556,0.33,0.261,0.042,0.158,0.835,0.105
5669,0.428,0.333,0.232,0.094,0.105,0.624,0.544
5670,0.576,0.435,0.238,0.19,0.028,1.649,0.253
5671,0.785,0.385,0.257,0.075,0.048,1.537,0.77
5672,0.486,0.131,0.168,0.009,0.169,0.968,0.286
5673,0.677,0.362,0.115,0.134,0.094,1.021,0.609
5674,0.502,0.392,0.241,0.072,0.026,1.054,0.092
5675,0.654,0.148,0.149,0.029,0.019,1.936,0.494
5676,0.418,0.415,0.233,0.134,0.16,1.494,0.241
5677,0.631,0.779,0.221,0.065,0.149,1.387,0.496
5678,0.443,0.516,0.339,0.148,0.189,0.686,0.633
5679,0.579,0.495,0.243,0.098,0.198,0.834,0.748
5680,0.477,0.253,0.098,0.097,0.163,1.973,0.87
5681,0.653,0.325,0.138,0.189,0.074,1.336,0.14
5682,0.803,0.179,0.206,0.005,0.16,1.105,0.049
5683,0.454,0.74,0.234,0.066,0.112,0.566,0.806
5684,0.722,0.175,0.051,0.07,0.125,0.985,0.132
5685,0.654,0.252,0.297,0.16,0.134,1.916,0.41
5686,0.88,0.222,0.16,0.085,0.036,0.822,0.648
5687,0.597,0.167,0.042,0.059,0.149,0.861,0.354
5688,0.635,0.259,0.11,0.045,0.05,1.05,0.615
5689,0.382,0.374,0.2,0.121,0.118,1.768,0.756
5690,0.79,0.07,0.09,0.174,0.107,1.05,0.464
5691,0.364,0.307,0.236,0.168,0.156,0.699,0.785
5692,0.653,0.351,0.375,0.024,0.121,1.899,0.212
5693,0.678,0.618,0.314,0.074,0.044,0.7,0.383
